Weiterbildung;;;;;
id;description;correctAnswer;wrongAnswer1;wrongAnswer2;wrongAnswer3
wb26;Was passiert, wenn der Leitzins der Europäischen Zentralbank steigt?;Kredite werden teurer, Sparzinsen steigen;Kredite werden günstiger, Sparzinsen sinken;Der Euro verliert automatisch an Wert;
wb27;"Welche Anlageform gilt als besonders sicher, aber mit niedrigerer Rendite?
";Tagesgeldkonto;Kryptowährungen;Aktienfonds;
wb28;Welche Strategie dient zur Risikominimierung bei Investitonen?;Diversifikation des Portfolios;Kredite aufnehmen, um mehr investieren zu können;Alle Investitionen in eine einzige Aktie stecken.;
wb29;"Was bedeutet ""progressive Besteuerung"" ?";Der Steuersatz steigt mit zunehmendem Einkommen. ;Alle zahlen denselben Prozentsatz ihres Einkommens.;Der Staat erhebt nur Steuern auf hohe Erbschaften.;
wb30;Was beeinflusst typischerweise eine Investitionsentscheidung einer Privatperson?;Risiko der Investition und erwartete Rendite;Steuern und Arbeitsstunden;Politische Stabilität und Unternehmensgröße;Gehalt und Urlaubsanspruch 
wb31;Wie unterscheidet sich eine Aktie von einer Anleihe?;Eine Aktie ist ein Unternehmensantiel, während eine Anleihe ein Darlehen an ein Unternehmen ist.;Aktie garantiert feste Zinsen.;Aktie nur zu Unternehmensgründung.;Aktie bringt immer höhere Rendite.
wb32;Welche der folgenden Optionen beschreibt ein Risiko bei Geldanlagen?;Inflation und mögliche Wertverluste;Langfristige Sicherheit;Steuerersparnisse;Hohe Renditen ohne Unsicherheit
wb33;Was unterscheidet kurzfristige von langfristigen Investitionen?;Kurzfr. Investitionen haben geringere Laufzeit und bieten schnelle Rückflüsse.;Kurzfr. Investitionen werden nur in Aktien getätigt, langfr. nur in Immobilien.;Kurzfr. Investitionen sind für Unternehmen und langfr. nur für Privatpersonen sinnvoll.;
wb34;Was ist der Zinseszinseffekt?;Zinsen werden auf bereits erhaltene Zinsen berechnet.;Zinsen steigen immer jährlich.;Zinsen werden nur auf das ursprüngliche Kapital berechnet.;
wb35;"Was bedeutet ""Liquidität"" in Bezug auf Investitionen?";Die Geschwindigkeit, mit der eine Investition verkauft werden kann.;Der Gewinn aus einer Investition.;Der langfristige Wert einer Investition.;
wb36;Welche Aussage beschreibt am besten eine Anleihe?;Festverzinsliches Wertpapier, mit dem ein Anleger einem Unternehmen oder Staat Geld leiht;Unternehmensanteil mit Anspruch auf Gewinnbeteiligung;Eine kurzfristige Investition in Aktien;
wb37;Wie unterscheiden sich ETFs von traditionellen Investmentfonds?;ETFs sind meist passiv und bilden einen Index ab;ETFs werden nicht börslich gehandelt;ETFs haben höhere Verwaltungskosten;
wb38;Welche der folgenden Aussagen beschreibt am besten einen ETF?;Ein passiv verwalteter Fonds, der einen Index nachbildet.;Ein aktiver Fonds, der nur in einzelen Aktien investiert.;Ein Investment in Immobilien.;
wb39;Was ist ein wesentlicher Vorteil von Immobilieninvestitionen im Vergleich zu Aktien?;Potenzielle steuerliche Vorteile;Geringeres Risiko;Höhere Liquidität;
wb40;"Was passiert in einem Markt mit hoher Nachfrage und geringem Angebot?
";Der Preis steigt;Der Preis bleibt konstant;Der Preis sinkt;
wb41;Was passiert typischerweise, wenn der Preis eines Guts steigt und das Angebot zunimmt?;Die Nachfrage sinkt;Die Nachfrage bleibt unverändert;Die Nachfrage steigt;
wb42;Welche Faktoren bestimmen das Angebot?;Produktionskosten und Ressorcenverfügbarkeit ;Verbraucherpräferenzen und saisonale Trends;Preispolitik und staatliche Eingriffe;Einkommen der Konsumentinnen 
wb43;Welche Aussage beschreibt eine Einschränkung des einfachen Wirtschaftskreislaufs am treffendsten?;Er ignoriert institutionelle Sektoren wie Staat, Finanzsystem und Ausland.;Er bildet nur den realen Güterstrom, nicht aber monetäre Transaktionen ab.;Er berücksichtigt lediglich die Rolle von Konsumenten, nicht aber von Produzenten.;
